iter	Logloss
0	0.6900122643
1	0.6872655392
2	0.6843201637
3	0.6814175606
4	0.6779362202
5	0.6745161057
6	0.6711114883
7	0.6675043106
8	0.6646825314
9	0.6610877514
10	0.6575193882
11	0.6547242165
12	0.6522762299
13	0.6498420715
14	0.6468817711
15	0.6453246593
16	0.6429703712
17	0.6407209396
18	0.6380053997
19	0.6356954575
20	0.6333454132
21	0.6307157516
22	0.6284927368
23	0.625414753
24	0.6233427525
25	0.6205910683
26	0.6180214405
27	0.6155103683
28	0.6142398357
29	0.6127281189
30	0.610133934
31	0.608468914
32	0.606765461
33	0.6056875706
34	0.6047414303
35	0.6027980328
36	0.6011769772
37	0.5996953964
38	0.5979609489
39	0.5968212128
40	0.5956384659
41	0.5940216064
42	0.5924230099
43	0.5910527229
44	0.5895042419
45	0.5878525734
46	0.5860436916
47	0.5848370075
48	0.5832737923
49	0.5819129944
50	0.5801584244
51	0.5786831856
52	0.5776453972
53	0.5758254051
54	0.574517107
55	0.5733374596
56	0.5725079536
57	0.5708658218
58	0.5700273991
59	0.5683832169
60	0.5668279648
61	0.5653800488
62	0.5646983147
63	0.5634102821
64	0.5621720791
65	0.5614836216
66	0.5601860523
67	0.5591364861
68	0.5579401493
69	0.5566558361
70	0.5550727844
71	0.5537151337
72	0.5520091057
73	0.5509244919
74	0.5500563622
75	0.5486854553
76	0.5477763176
77	0.546608448
78	0.5454187393
79	0.544590044
80	0.5431932926
81	0.5419173241
82	0.541119194
83	0.5400444031
84	0.539000988
85	0.5379524231
86	0.5367665291
87	0.535604763
88	0.534219408
89	0.5334437847
90	0.5325283527
91	0.5316903114
92	0.5309786797
93	0.5299008369
94	0.5290505886
95	0.5283738136
96	0.5271392822
97	0.5265522003
98	0.5255586624
99	0.5249308109
100	0.5243578434
101	0.5236791134
102	0.5226973534
103	0.5218010902
104	0.5209535599
105	0.5200685501
106	0.5190003395
107	0.5183314323
108	0.5173513889
109	0.5164996147
110	0.5155275345
111	0.5144394875
112	0.513718462
113	0.5130223274
114	0.5122913837
115	0.5112007141
116	0.5103879929
117	0.509476757
118	0.508591938
119	0.5078032494
120	0.5070545673
121	0.5061968803
122	0.505553484
123	0.504720211
124	0.5038342953
125	0.5031524658
126	0.5026363373
127	0.5021128654
128	0.5013074398
129	0.5005951881
130	0.5000660896
131	0.4994415283
132	0.4987403393
133	0.4982866287
134	0.4975812435
135	0.4971286774
136	0.4967222214
137	0.4958018303
138	0.4952866077
139	0.4947595596
140	0.494244051
141	0.4937413692
142	0.4929686546
143	0.4923163414
144	0.4916591167
145	0.4908682823
146	0.4900754929
147	0.4897417068
148	0.4889910698
149	0.4883238792
150	0.4873963356
151	0.4868461609
152	0.4861003876
153	0.4857914925
154	0.4849140644
155	0.484459734
156	0.483747673
157	0.4831008911
158	0.4823101521
159	0.4816091537
160	0.4810334682
161	0.4805588722
162	0.480098772
163	0.4793443203
164	0.4787307262
165	0.4782457352
166	0.4777849197
167	0.4774411201
168	0.4768246651
169	0.4763955593
170	0.4757344723
171	0.4749585152
172	0.4744459152
173	0.4738983154
174	0.4733531475
175	0.4730093479
176	0.4726168633
177	0.4719781399
178	0.4715442657
179	0.4711080074
180	0.4704787731
181	0.4698941708
182	0.4693789959
183	0.4687812805
184	0.4682990551
185	0.4677251816
186	0.4670379639
187	0.4665666103
188	0.4658408642
189	0.4654100418
190	0.4651853085
191	0.4647974014
192	0.4641188622
193	0.46342659
194	0.4629685879
195	0.4624207497
196	0.4618759632
197	0.4614196301
198	0.4608824253
199	0.4602289677
200	0.4596904755
201	0.4592152119
202	0.4585010529
203	0.4581292629
204	0.4571651459
205	0.4567515373
206	0.4563101768
207	0.4559510708
208	0.4554394245
209	0.4550179005
210	0.4546003819
211	0.454105854
212	0.4537317276
213	0.4532369137
214	0.4527836323
215	0.4524111748
216	0.4517971992
217	0.4512791634
218	0.4509009361
219	0.450512886
220	0.4497787476
221	0.4493331432
222	0.4487736702
223	0.4481304646
224	0.4475995064
225	0.4469836235
226	0.4461943626
227	0.4456136227
228	0.445072031
229	0.4446575642
230	0.4441384315
231	0.4435992241
232	0.4432085991
233	0.4429381371
234	0.4423659325
235	0.4420670509
236	0.4417084694
237	0.4413770676
238	0.4409891129
239	0.440583086
240	0.4403120995
241	0.4397657394
242	0.4394141674
243	0.4389881611
244	0.4384746552
245	0.4379623413
246	0.4376605511
247	0.4373291016
248	0.4369808674
249	0.4364321709
250	0.4359783173
251	0.4356254578
252	0.4352705956
253	0.434864521
254	0.4343691826
255	0.4336994648
256	0.4334161758
257	0.4329344749
258	0.4322628498
259	0.4318683624
260	0.43156991
261	0.4311447144
262	0.4306489944
263	0.4302948475
264	0.4296366215
265	0.4293484688
266	0.4291262627
267	0.4287520409
268	0.4281077385
269	0.4277513981
270	0.4272303581
271	0.4266493797
272	0.4263263702
273	0.4261218071
274	0.4256429672
275	0.4252227783
276	0.4247889996
277	0.4242695808
278	0.4237350941
279	0.423494339
280	0.4231154442
281	0.4227313042
282	0.4225000381
283	0.4221084595
284	0.42177248
285	0.4213395119
286	0.4208936214
287	0.420279789
288	0.4198541641
289	0.4195001125
290	0.4191813469
291	0.4187611103
292	0.418550396
293	0.4182202339
294	0.4179880142
295	0.4174627304
296	0.4170921326
297	0.4164652348
298	0.4158946514
299	0.4155380726
300	0.4152144909
301	0.4149328232
302	0.4145148277
303	0.414193058
304	0.4139391899
305	0.4135980606
306	0.413209343
307	0.4129729748
308	0.412551403
309	0.412251997
310	0.411822319
311	0.4114250183
312	0.4112106323
313	0.4109460831
314	0.4106880188
315	0.4102230072
316	0.409853363
317	0.4094935417
318	0.4090806484
319	0.4087924957
320	0.4084848881
321	0.4082313538
322	0.4077003479
323	0.4074333191
324	0.4069432259
325	0.4065903664
326	0.406111145
327	0.4057151318
328	0.4055111885
329	0.405192709
330	0.4048361778
331	0.4043979645
332	0.4042904854
333	0.4039953232
334	0.4037319183
335	0.4034229279
336	0.4031749725
337	0.4026357651
338	0.4022075653
339	0.4016810894
340	0.4013898373
341	0.4010900021
342	0.4007494926
343	0.4004936218
344	0.4000379086
345	0.3997022152
346	0.3992442369
347	0.3988853216
348	0.3985678673
349	0.3982884884
350	0.3978161335
351	0.3975473166
352	0.397260952
353	0.396762228
354	0.3963396549
355	0.3961307049
356	0.3958347559
357	0.3955218077
358	0.3950549126
359	0.3947328806
360	0.3942852259
361	0.3939408302
362	0.3933887005
363	0.39292593
364	0.3925597191
365	0.3920731068
366	0.3918643951
367	0.3914754391
368	0.3912637234
369	0.390986824
370	0.3906984806
371	0.3904475689
372	0.3901375294
373	0.389707613
374	0.3894273996
375	0.3888889313
376	0.3886667728
377	0.3883630276
378	0.3880592823
379	0.3876991749
380	0.3874248505
381	0.3870753288
382	0.3868553162
383	0.3865213394
384	0.3861464262
385	0.3858800411
386	0.3855597258
387	0.3850841045
388	0.3846464157
389	0.3843633175
390	0.3839929104
391	0.3836165667
392	0.3831932545
393	0.3829599142
394	0.3826289177
395	0.3820766449
396	0.381663537
397	0.3813351154
398	0.3810629606
399	0.3808460712
400	0.380593729
401	0.380334115
402	0.3800862789
403	0.3797558784
404	0.3793532372
405	0.3789017677
406	0.3783661604
407	0.3779089451
408	0.3776416302
409	0.3773278236
410	0.3770296574
411	0.3766832352
412	0.3763903618
413	0.3759196043
414	0.3757161856
415	0.3754051208
416	0.3748750448
417	0.374425602
418	0.3741272926
419	0.3737784147
420	0.3735915661
421	0.3732518911
422	0.3728801727
423	0.3725435019
424	0.372120142
425	0.3716676235
426	0.3713340282
427	0.3708319187
428	0.370495224
429	0.3702222586
430	0.3697793484
431	0.3693278313
432	0.3689751148
433	0.3687416077
434	0.3685544014
435	0.3683307171
436	0.3679493427
437	0.3677556992
438	0.3676155567
439	0.3672385931
440	0.3667993784
441	0.3666523933
442	0.3663691044
443	0.3659916162
444	0.3658036232
445	0.365571928
446	0.3653005362
447	0.3651068211
448	0.3648862123
449	0.3647045374
450	0.3644026518
451	0.3642091751
452	0.3640331745
453	0.3635806084
454	0.3631256104
455	0.3628245831
456	0.3626290083
457	0.3624099255
458	0.3622315407
459	0.3617306471
460	0.3614856482
461	0.361267662
462	0.3610044003
463	0.3606172085
464	0.3603096724
465	0.3600667
466	0.3597606659
467	0.3595564604
468	0.3592055798
469	0.3590162754
470	0.3588169098
471	0.3585108042
472	0.3582954407
473	0.3578402996
474	0.3575549841
475	0.3573468447
476	0.3570225716
477	0.3567142963
478	0.3564600706
479	0.356141901
480	0.3558540821
481	0.3555880547
482	0.3551473141
483	0.3547780037
484	0.3544137955
485	0.3542289972
486	0.3539422512
487	0.3536439419
488	0.3532374382
489	0.3527379036
