iter	Passed	Remaining
0	2	2970
1	5	2732
2	7	2584
3	9	2480
4	11	2331
5	14	2388
6	16	2325
7	18	2253
8	20	2203
9	21	2158
10	23	2124
11	25	2119
12	27	2095
13	30	2119
14	31	2094
15	33	2071
16	35	2062
17	37	2056
18	39	2050
19	41	2035
20	43	2044
21	47	2114
22	50	2127
23	53	2156
24	55	2154
25	57	2153
26	59	2156
27	63	2191
28	65	2189
29	67	2181
30	69	2175
31	71	2168
32	73	2159
33	76	2166
34	78	2163
35	80	2152
36	82	2148
37	84	2139
38	86	2130
39	88	2125
40	90	2125
41	93	2135
42	95	2134
43	98	2132
44	100	2126
45	102	2118
46	104	2113
47	106	2110
48	109	2121
49	111	2124
50	114	2124
51	116	2119
52	118	2112
53	120	2107
54	122	2108
55	124	2106
56	126	2098
57	128	2093
58	130	2087
59	132	2083
60	134	2075
61	137	2073
62	139	2077
63	141	2072
64	143	2064
65	145	2057
66	147	2051
67	149	2043
68	151	2042
69	153	2036
70	155	2039
71	158	2041
72	160	2036
73	162	2031
74	164	2027
75	166	2023
76	168	2017
77	170	2017
78	172	2013
79	174	2007
80	176	2003
81	178	1999
82	180	1994
83	182	1991
84	184	1988
85	187	1990
86	189	1988
87	191	1984
88	193	1979
89	195	1975
90	197	1971
91	199	1967
92	201	1965
93	204	1967
94	206	1963
95	208	1960
96	210	1956
97	212	1952
98	213	1947
99	215	1943
100	218	1943
101	220	1940
102	222	1935
103	224	1932
104	226	1927
105	227	1922
106	229	1917
107	231	1913
108	234	1914
109	236	1909
110	237	1904
111	239	1898
112	241	1892
113	242	1887
114	244	1882
115	246	1876
116	248	1872
117	251	1882
118	254	1883
119	256	1878
120	257	1873
121	259	1868
122	261	1865
123	263	1859
124	265	1858
125	267	1853
126	268	1848
127	270	1845
128	272	1840
129	274	1835
130	275	1830
131	277	1825
132	279	1819
133	281	1817
134	282	1812
135	284	1808
136	286	1803
137	287	1798
138	289	1794
139	291	1790
140	293	1786
141	294	1781
142	296	1778
143	298	1775
144	300	1773
145	302	1770
146	304	1766
147	306	1762
148	307	1758
149	309	1754
150	311	1749
151	313	1748
152	315	1748
153	318	1747
154	320	1745
155	322	1743
156	324	1741
157	326	1738
